Produk,Rating,Ulasan,Clean_Ulasan,Sentiment,Word_Count,Char_Count,Length_Category
POCO X8 Pro Series,5,"packing aman, sesuai pesanan, pengiriman cepat, berfungsi dengan baik. terimakasih",packing aman sesuai pesanan pengiriman cepat berfungsi dengan baik terimakasih,Positif,10,82,Sedang (9–15 kata)
POCO C85 (6/128) (8/256),5,"Barang msh segel, berfungsi dengan baik, penjual responsif, packing aman, pengiriman cepat, terima kasih",barang msh segel berfungsi dengan baik penjual responsif packing aman pengiriman cepat terima kasih,Positif,14,104,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"barang aman jaya mntap 
pengiriman cepat bangatt
dapat harga spesial",barang aman jaya mntap pengiriman cepat bangatt dapat harga spesial,Positif,10,68,Sedang (9–15 kata)
POCO M7 Pro 5G (8/256G),5,"barang sampai dengan aman dan selamat, thanks admin",barang sampai dengan aman dan selamat thanks admin,Positif,8,51,Singkat (4–8 kata)
POCO M7 (8GB/256GB),5,"Gacor!!!! Puas sekali ini sudah 4 kali saya beli di Toko ini, 3 hari langsung sampai dirumah saya, Kurirnya antar langsung di depan pintu rumah, kualitas barang juga 100%...",gacor puas sekali ini sudah 4 kali saya beli di toko ini 3 hari langsung sampai dirumah saya kurirnya antar langsung di depan pintu rumah kualitas barang juga 100,Positif,29,173,Panjang (>15 kata)
Xiaomi 3A USB-A to USB-C Cable (1m),5,"Bagus, ini untuk dibawah 33watt cocok, karena kabel ini belum support mi turbo charging.",bagus ini untuk dibawah 33watt cocok karena kabel ini belum support mi turbo charging,Positif,14,88,Sedang (9–15 kata)
POCO X8 Pro Series,5,"GGGAAACOOORRRRR, GACOR, saya sangat puas, Pelayanan Cepat Sekali, Kurir Langsung di Depan Pintu, Kualitas Barang 100%",gggaaacooorrrrr gacor saya sangat puas pelayanan cepat sekali kurir langsung di depan pintu kualitas barang 100,Positif,16,117,Panjang (>15 kata)
Xiaomi Smart Band 10,5,di terima dgn baik dan berfungsi dgn baik.,di terima dgn baik dan berfungsi dgn baik,Positif,8,42,Singkat (4–8 kata)
Xiaomi Mijia Electric Air Compressor Series,5,proses cepat barang sesuai pesanan,proses cepat barang sesuai pesanan,Positif,5,34,Singkat (4–8 kata)
Xiaomi Gaming Monitor G24i 2026,5,setelah di pakai kerja dan seharian terasa adem di mata dan terlihat mewahserta elegan,setelah di pakai kerja dan seharian terasa adem di mata dan terlihat mewahserta elegan,Positif,14,86,Sedang (9–15 kata)
